Date,Low,Open,Volume,High,Close,Adjusted Close,,,
11/09/2022,361.9100037,368.4400024,2323700,369.7999878,363.269989,363.269989,,,
11/10/2022,363,367.2399902,2994000,369,368.7200012,368.7200012,,,
11/11/2022,344.519989,366.1600037,6646300,367.8299866,352.2999878,352.2999878,,,
12/01/2022,368.4899902,374.7900085,2516100,375.1900024,370.3299866,370.3299866,,,
12/02/2022,365,366.0799866,1925200,375.0400085,374.7600098,374.7600098,,,
12/05/2022,368.2799988,373.7600098,2296500,375.25,369.2900085,369.2900085,,,
12/06/2022,365.519989,367,1971000,370.6400146,368.5400085,368.5400085,,,
12/07/2022,368.7600098,369.3200073,1629100,375.2399902,371.9700012,371.9700012,,,
12/08/2022,366.5,373.2600098,2090900,373.2600098,371.7900085,371.7900085,,,
12/09/2022,360.8099976,373,2786200,374,360.9899902,360.9899902,,,
12/12/2022,362.5,362.9299927,712546,367.1700134,365.5899963,365.5899963,,,
